iter	Passed	Remaining
0	7	3627
1	14	3718
2	21	3513
3	28	3495
4	34	3426
5	39	3270
6	47	3328
7	53	3267
8	58	3197
9	64	3163
10	70	3135
11	75	3090
12	83	3127
13	89	3101
14	97	3156
15	103	3120
16	109	3108
17	115	3081
18	120	3061
19	126	3046
20	132	3021
21	138	3018
22	145	3012
23	150	2991
24	154	2944
25	161	2935
26	166	2914
27	172	2900
28	177	2887
29	183	2870
30	188	2859
31	194	2842
32	199	2828
33	206	2825
34	212	2816
35	217	2806
36	223	2798
37	229	2795
38	237	2808
39	244	2810
40	251	2820
41	259	2825
42	265	2820
43	271	2812
44	276	2796
45	281	2782
46	286	2760
47	291	2748
48	299	2752
49	304	2739
50	310	2736
51	315	2715
52	321	2709
53	326	2698
54	332	2687
55	337	2678
56	344	2674
57	350	2671
58	356	2661
59	361	2650
60	365	2629
61	370	2620
62	376	2610
63	382	2602
64	388	2599
65	394	2594
66	399	2583
67	405	2576
68	414	2591
69	424	2609
70	441	2665
71	447	2662
72	452	2644
73	457	2631
74	463	2626
75	469	2621
76	476	2617
77	483	2613
78	489	2607
79	495	2603
80	501	2595
81	507	2587
82	513	2579
83	520	2577
84	525	2567
85	529	2548
86	537	2550
87	544	2550
88	550	2544
89	557	2537
90	562	2529
91	568	2523
92	575	2518
93	581	2511
94	587	2502
95	590	2486
96	596	2477
97	602	2471
98	608	2465
99	616	2465
100	622	2457
101	627	2448
102	633	2440
103	638	2432
104	645	2428
105	651	2421
106	657	2414
107	664	2410
108	669	2402
109	675	2394
110	681	2388
111	684	2372
112	691	2367
113	698	2363
114	705	2363
115	711	2356
116	717	2350
117	724	2344
118	732	2345
119	737	2336
120	743	2329
121	749	2321
122	754	2312
123	760	2306
124	766	2299
125	771	2288
126	777	2283
127	783	2276
128	789	2270
129	797	2268
130	803	2262
131	809	2256
132	815	2249
133	819	2237
134	824	2227
135	828	2216
136	834	2211
137	840	2205
138	847	2200
139	852	2192
140	859	2187
141	865	2182
142	871	2176
143	879	2174
144	885	2167
145	891	2160
146	895	2150
147	901	2144
148	907	2138
149	913	2131
150	918	2123
151	924	2116
152	930	2109
153	936	2103
154	942	2098
155	949	2093
156	957	2091
157	963	2086
158	970	2082
159	976	2075
160	983	2071
161	991	2069
162	996	2060
163	1003	2055
164	1009	2049
165	1015	2043
166	1021	2037
167	1028	2031
168	1034	2026
169	1041	2022
170	1048	2016
171	1054	2010
172	1060	2004
173	1065	1997
174	1071	1990
175	1077	1983
176	1083	1976
177	1088	1969
178	1094	1962
179	1100	1955
180	1104	1947
181	1111	1941
182	1116	1934
183	1122	1928
184	1128	1921
185	1135	1917
186	1141	1911
187	1148	1906
188	1154	1900
189	1160	1893
190	1166	1887
191	1173	1882
192	1179	1876
193	1186	1870
194	1191	1864
195	1198	1858
196	1203	1851
197	1210	1845
198	1216	1839
199	1224	1836
200	1230	1830
201	1236	1824
202	1242	1817
203	1247	1810
204	1254	1805
205	1260	1799
206	1267	1793
207	1274	1789
208	1281	1783
209	1287	1777
210	1293	1771
211	1298	1764
212	1304	1758
213	1311	1752
214	1317	1746
215	1323	1740
216	1330	1734
217	1336	1728
218	1342	1722
219	1347	1715
220	1354	1709
221	1360	1703
222	1365	1696
223	1373	1692
224	1379	1686
225	1386	1680
226	1392	1674
227	1398	1668
228	1405	1663
229	1412	1657
230	1418	1652
231	1424	1645
232	1430	1639
233	1436	1633
234	1443	1627
235	1448	1620
236	1454	1614
237	1460	1607
238	1466	1602
239	1473	1595
240	1479	1589
241	1485	1583
242	1491	1577
243	1497	1570
244	1503	1564
245	1509	1558
246	1516	1553
247	1523	1547
248	1529	1541
249	1534	1534
250	1541	1529
251	1548	1523
252	1554	1517
253	1560	1511
254	1566	1505
255	1572	1499
256	1579	1493
257	1585	1487
258	1591	1480
259	1597	1474
260	1603	1468
261	1609	1462
262	1616	1456
263	1623	1451
264	1629	1445
265	1636	1439
266	1644	1435
267	1650	1428
268	1656	1422
269	1662	1416
270	1669	1410
271	1675	1404
272	1682	1398
273	1690	1394
274	1698	1389
275	1705	1384
276	1711	1377
277	1719	1373
278	1725	1366
279	1731	1360
280	1737	1354
281	1744	1348
282	1750	1342
283	1756	1335
284	1762	1329
285	1769	1323
286	1776	1318
287	1782	1312
288	1788	1305
289	1795	1299
290	1801	1293
291	1807	1287
292	1814	1281
293	1820	1275
294	1826	1269
295	1833	1263
296	1839	1257
297	1845	1251
298	1852	1245
299	1858	1238
300	1864	1232
301	1871	1226
302	1877	1220
303	1883	1214
304	1890	1208
305	1896	1202
306	1902	1196
307	1908	1189
308	1914	1183
309	1921	1177
310	1928	1172
311	1934	1165
312	1941	1159
313	1947	1153
314	1953	1147
315	1959	1141
316	1966	1135
317	1973	1129
318	1981	1124
319	1988	1118
320	1996	1113
321	2002	1107
322	2009	1101
323	2015	1094
324	2024	1089
325	2034	1085
326	2058	1089
327	2067	1084
328	2076	1079
329	2085	1074
330	2092	1068
331	2100	1062
332	2107	1057
333	2117	1052
334	2125	1046
335	2135	1042
336	2142	1036
337	2150	1030
338	2157	1024
339	2163	1018
340	2169	1011
341	2177	1006
342	2184	999
343	2190	993
344	2199	988
345	2206	982
346	2213	975
347	2219	969
348	2226	963
349	2233	957
350	2240	950
351	2246	944
352	2252	938
353	2259	931
354	2265	925
355	2271	918
356	2277	912
357	2284	906
358	2290	899
359	2296	893
360	2303	887
361	2310	880
362	2316	874
363	2322	867
364	2329	861
365	2335	854
366	2341	848
367	2349	842
368	2355	836
369	2362	829
370	2368	823
371	2375	817
372	2380	810
373	2386	804
374	2392	797
375	2399	791
376	2406	785
377	2412	778
378	2418	772
379	2424	765
380	2430	759
381	2437	752
382	2443	746
383	2449	740
384	2455	733
385	2462	727
386	2468	720
387	2474	714
388	2481	708
389	2487	701
390	2493	695
391	2499	688
392	2505	682
393	2511	675
394	2517	669
395	2524	662
396	2530	656
397	2536	650
398	2542	643
399	2549	637
400	2555	630
401	2561	624
402	2568	618
403	2574	611
404	2582	605
405	2588	599
406	2594	592
407	2601	586
408	2608	580
409	2614	573
410	2621	567
411	2627	561
412	2634	554
413	2640	548
414	2646	541
415	2652	535
416	2661	529
417	2668	523
418	2677	517
419	2683	511
420	2689	504
421	2695	498
422	2701	491
423	2707	485
424	2714	478
425	2720	472
426	2728	466
427	2734	459
428	2740	453
429	2746	447
430	2753	440
431	2760	434
432	2766	427
433	2772	421
434	2779	415
435	2786	408
436	2792	402
437	2798	396
438	2805	389
439	2811	383
440	2817	376
441	2824	370
442	2831	364
443	2837	357
444	2844	351
445	2850	345
446	2857	338
447	2863	332
448	2869	325
449	2876	319
450	2882	313
451	2889	306
452	2895	300
453	2903	294
454	2909	287
455	2915	281
456	2922	274
457	2928	268
458	2934	262
459	2941	255
460	2947	249
461	2954	242
462	2960	236
463	2967	230
464	2974	223
465	2980	217
466	2988	211
467	2994	204
468	3008	198
469	3020	192
470	3027	186
471	3033	179
472	3039	173
473	3045	167
474	3052	160
475	3058	154
476	3065	147
477	3071	141
478	3079	135
479	3086	128
480	3092	122
481	3099	115
482	3105	109
483	3111	102
484	3118	96
485	3124	90
486	3131	83
487	3137	77
488	3144	70
489	3150	64
490	3158	57
491	3164	51
492	3172	45
493	3178	38
494	3185	32
495	3192	25
496	3200	19
497	3206	12
498	3213	6
499	3220	0
